Title:,"Time Series, Area-Averaged of 2-meter dew point temperature monthly 0.5 x 0.625 (monthly)"
User Start Date:,2000-01-01T00:00:00Z
User End Date:,2025-10-31T23:59:59Z
User Bounding Box:,"102,8,110,24"
Data Bounding Box:,"102.5,8,110,24"
URL to Reproduce Results:,"https://giovanni.gsfc.nasa.gov/giovanni/#service=ArAvTs&starttime=2000-01-01T00:00:00Z&endtime=2025-10-31T23:59:59Z&bbox=102,8,110,24&data=M2TMNXSLV_5_12_4_T2MDEW&dataKeyword=2m%20Temperature%20(T2M)&portal=GIOVANNI&format=json"
Fill Value (mean_M2TMNXSLV_5_12_4_T2MDEW):, 1000000000000000

time, mean_M2TMNXSLV_5_12_4_T2MDEW
2000-01-01 00:00:00,290.099243
2000-02-01 00:00:00,289.872406
2000-03-01 00:00:00,292.096283
2000-04-01 00:00:00,294.971619
2000-05-01 00:00:00,296.309174
2000-06-01 00:00:00,296.724304
2000-07-01 00:00:00,296.84021
2000-08-01 00:00:00,296.998077
2000-09-01 00:00:00,295.774078
2000-10-01 00:00:00,295.16217
2000-11-01 00:00:00,291.643036
2000-12-01 00:00:00,290.883179
2001-01-01 00:00:00,290.716034
2001-02-01 00:00:00,289.886047
2001-03-01 00:00:00,292.877808
2001-04-01 00:00:00,294.563141
2001-05-01 00:00:00,296.151367
2001-06-01 00:00:00,296.970062
2001-07-01 00:00:00,297.175507
2001-08-01 00:00:00,297.125946
2001-09-01 00:00:00,296.424774
2001-10-01 00:00:00,295.66214
2001-11-01 00:00:00,291.246338
2001-12-01 00:00:00,290.050568
2002-01-01 00:00:00,289.013672
2002-02-01 00:00:00,290.258545
2002-03-01 00:00:00,292.053009
2002-04-01 00:00:00,294.080292
2002-05-01 00:00:00,296.041748
2002-06-01 00:00:00,297.239624
2002-07-01 00:00:00,297.050751
2002-08-01 00:00:00,296.566895
2002-09-01 00:00:00,295.985962
2002-10-01 00:00:00,294.496216
2002-11-01 00:00:00,292.905731
2002-12-01 00:00:00,291.54895
2003-01-01 00:00:00,288.424072
2003-02-01 00:00:00,290.80896
2003-03-01 00:00:00,292.040314
2003-04-01 00:00:00,293.94986
2003-05-01 00:00:00,296.254028
2003-06-01 00:00:00,296.726776
2003-07-01 00:00:00,296.815186
2003-08-01 00:00:00,297.142578
2003-09-01 00:00:00,296.432892
2003-10-01 00:00:00,294.429688
2003-11-01 00:00:00,292.226562
2003-12-01 00:00:00,288.585297
2004-01-01 00:00:00,289.068207
2004-02-01 00:00:00,289.171783
2004-03-01 00:00:00,291.131531
2004-04-01 00:00:00,293.732849
2004-05-01 00:00:00,295.780273
2004-06-01 00:00:00,296.494812
2004-07-01 00:00:00,296.600861
2004-08-01 00:00:00,296.998322
2004-09-01 00:00:00,295.845825
2004-10-01 00:00:00,292.958282
2004-11-01 00:00:00,291.941864
2004-12-01 00:00:00,288.048798
2005-01-01 00:00:00,287.735901
2005-02-01 00:00:00,289.520111
2005-03-01 00:00:00,290.194824
2005-04-01 00:00:00,293.361115
2005-05-01 00:00:00,296.209778
2005-06-01 00:00:00,297.45459
2005-07-01 00:00:00,296.958832
2005-08-01 00:00:00,296.997986
2005-09-01 00:00:00,296.51886
2005-10-01 00:00:00,294.764984
2005-11-01 00:00:00,293.245422
2005-12-01 00:00:00,289.139954
2006-01-01 00:00:00,288.809326
2006-02-01 00:00:00,290.529663
2006-03-01 00:00:00,291.672089
2006-04-01 00:00:00,294.101562
2006-05-01 00:00:00,295.063385
2006-06-01 00:00:00,296.810638
2006-07-01 00:00:00,297.040741
2006-08-01 00:00:00,296.809784
2006-09-01 00:00:00,295.683594
2006-10-01 00:00:00,295.125885
2006-11-01 00:00:00,293.184113
2006-12-01 00:00:00,289.37146
2007-01-01 00:00:00,287.900665
2007-02-01 00:00:00,289.802795
2007-03-01 00:00:00,292.189941
2007-04-01 00:00:00,292.914337
2007-05-01 00:00:00,295.460693
2007-06-01 00:00:00,297.014252
2007-07-01 00:00:00,296.776398
2007-08-01 00:00:00,296.831848
2007-09-01 00:00:00,295.990234
2007-10-01 00:00:00,294.694916
2007-11-01 00:00:00,290.517731
2007-12-01 00:00:00,290.731842
2008-01-01 00:00:00,288.205292
2008-02-01 00:00:00,287.217255
2008-03-01 00:00:00,291.193268
2008-04-01 00:00:00,294.15155
2008-05-01 00:00:00,295.563812
2008-06-01 00:00:00,296.648987
2008-07-01 00:00:00,296.683746
2008-08-01 00:00:00,296.644104
2008-09-01 00:00:00,296.414764
2008-10-01 00:00:00,295.7211
2008-11-01 00:00:00,292.206696
2008-12-01 00:00:00,289.507263
2009-01-01 00:00:00,287.145569
2009-02-01 00:00:00,291.43399
2009-03-01 00:00:00,292.212311
2009-04-01 00:00:00,294.6297
2009-05-01 00:00:00,295.729614
2009-06-01 00:00:00,296.824127
2009-07-01 00:00:00,296.943176
2009-08-01 00:00:00,296.942596
2009-09-01 00:00:00,296.595825
2009-10-01 00:00:00,294.983704
2009-11-01 00:00:00,291.194489
2009-12-01 00:00:00,290.045258
2010-01-01 00:00:00,290.034546
2010-02-01 00:00:00,290.370331
2010-03-01 00:00:00,290.733917
2010-04-01 00:00:00,293.854584
2010-05-01 00:00:00,296.319153
2010-06-01 00:00:00,296.9711
2010-07-01 00:00:00,296.872894
2010-08-01 00:00:00,296.781738
2010-09-01 00:00:00,296.555023
2010-10-01 00:00:00,294.371368
2010-11-01 00:00:00,292.32196
2010-12-01 00:00:00,290.199524
2011-01-01 00:00:00,287.123962
2011-02-01 00:00:00,289.588867
2011-03-01 00:00:00,289.908203
2011-04-01 00:00:00,293.265869
2011-05-01 00:00:00,295.42392
2011-06-01 00:00:00,296.914368
2011-07-01 00:00:00,296.789703
2011-08-01 00:00:00,296.608154
2011-09-01 00:00:00,296.355621
2011-10-01 00:00:00,294.818207
2011-11-01 00:00:00,293.341888
2011-12-01 00:00:00,288.660126
2012-01-01 00:00:00,289.572906
2012-02-01 00:00:00,290.121918
2012-03-01 00:00:00,291.961517
2012-04-01 00:00:00,294.672668
2012-05-01 00:00:00,296.559509
2012-06-01 00:00:00,296.94873
2012-07-01 00:00:00,296.839661
2012-08-01 00:00:00,296.716248
2012-09-01 00:00:00,296.004608
2012-10-01 00:00:00,294.759644
2012-11-01 00:00:00,294.138733
2012-12-01 00:00:00,290.979492
2013-01-01 00:00:00,289.130432
2013-02-01 00:00:00,291.012512
2013-03-01 00:00:00,292.012939
2013-04-01 00:00:00,294.247467
2013-05-01 00:00:00,296.379211
2013-06-01 00:00:00,296.465698
2013-07-01 00:00:00,296.724304
2013-08-01 00:00:00,296.776093
2013-09-01 00:00:00,296.177002
2013-10-01 00:00:00,294.141205
2013-11-01 00:00:00,293.065613
2013-12-01 00:00:00,287.713898
2014-01-01 00:00:00,287.396545
2014-02-01 00:00:00,288.972961
2014-03-01 00:00:00,291.832794
2014-04-01 00:00:00,294.584045
2014-05-01 00:00:00,296.25882
2014-06-01 00:00:00,297.14032
2014-07-01 00:00:00,297.168976
2014-08-01 00:00:00,296.849976
2014-09-01 00:00:00,296.536499
2014-10-01 00:00:00,294.851166
2014-11-01 00:00:00,293.567413
2014-12-01 00:00:00,289.233978
2015-01-01 00:00:00,287.947327
2015-02-01 00:00:00,289.590302
2015-03-01 00:00:00,292.152069
2015-04-01 00:00:00,293.028229
2015-05-01 00:00:00,296.18219
2015-06-01 00:00:00,296.631653
2015-07-01 00:00:00,296.421753
2015-08-01 00:00:00,296.897461
2015-09-01 00:00:00,296.816376
2015-10-01 00:00:00,294.894775
2015-11-01 00:00:00,294.480804
2015-12-01 00:00:00,290.990479
2016-01-01 00:00:00,290.308899
2016-02-01 00:00:00,287.605286
2016-03-01 00:00:00,290.822632
2016-04-01 00:00:00,294.05542
2016-05-01 00:00:00,296.328033
2016-06-01 00:00:00,297.066467
2016-07-01 00:00:00,297.08313
2016-08-01 00:00:00,297.267731
2016-09-01 00:00:00,296.762634
2016-10-01 00:00:00,295.976868
2016-11-01 00:00:00,293.805573
2016-12-01 00:00:00,291.45816
2017-01-01 00:00:00,291.236603
2017-02-01 00:00:00,289.841309
2017-03-01 00:00:00,292.603699
2017-04-01 00:00:00,294.355682
2017-05-01 00:00:00,296.361572
2017-06-01 00:00:00,297.379395
2017-07-01 00:00:00,297.223236
2017-08-01 00:00:00,297.488129
2017-09-01 00:00:00,297.419006
2017-10-01 00:00:00,295.297089
2017-11-01 00:00:00,293.707184
2017-12-01 00:00:00,289.947388
2018-01-01 00:00:00,290.428528
2018-02-01 00:00:00,289.168518
2018-03-01 00:00:00,292.180634
2018-04-01 00:00:00,293.854218
2018-05-01 00:00:00,296.648956
2018-06-01 00:00:00,297.152496
2018-07-01 00:00:00,297.36322
2018-08-01 00:00:00,297.171814
2018-09-01 00:00:00,296.618073
2018-10-01 00:00:00,294.889862
2018-11-01 00:00:00,293.809082
2018-12-01 00:00:00,291.896606
2019-01-01 00:00:00,290.399658
2019-02-01 00:00:00,291.818298
2019-03-01 00:00:00,292.884613
2019-04-01 00:00:00,295.602142
2019-05-01 00:00:00,297.060822
2019-06-01 00:00:00,297.955505
2019-07-01 00:00:00,297.449829
2019-08-01 00:00:00,297.527496
2019-09-01 00:00:00,296.243103
2019-10-01 00:00:00,295.476318
2019-11-01 00:00:00,292.897461
2019-12-01 00:00:00,289.593292
2020-01-01 00:00:00,290.446533
2020-02-01 00:00:00,290.087952
2020-03-01 00:00:00,293.210052
2020-04-01 00:00:00,293.819702
2020-05-01 00:00:00,296.974854
2020-06-01 00:00:00,297.673279
2020-07-01 00:00:00,297.449005
2020-08-01 00:00:00,297.409882
2020-09-01 00:00:00,297.22821
2020-10-01 00:00:00,295.127228
2020-11-01 00:00:00,293.495544
2020-12-01 00:00:00,290.181793
2021-01-01 00:00:00,288.219147
2021-02-01 00:00:00,290.285248
2021-03-01 00:00:00,292.85675
2021-04-01 00:00:00,295.048523
2021-05-01 00:00:00,297.261658
2021-06-01 00:00:00,297.452698
2021-07-01 00:00:00,297.422699
2021-08-01 00:00:00,297.447662
2021-09-01 00:00:00,296.910797
2021-10-01 00:00:00,295.351624
2021-11-01 00:00:00,293.272125
2021-12-01 00:00:00,290.161102
2022-01-01 00:00:00,290.872253
2022-02-01 00:00:00,290.454987
2022-03-01 00:00:00,293.971863
2022-04-01 00:00:00,294.092651
2022-05-01 00:00:00,296.164978
2022-06-01 00:00:00,297.48175
2022-07-01 00:00:00,297.611053
2022-08-01 00:00:00,297.291992
2022-09-01 00:00:00,296.732605
2022-10-01 00:00:00,294.442383
2022-11-01 00:00:00,294.647186
2022-12-01 00:00:00,289.376434
2023-01-01 00:00:00,289.093414
2023-02-01 00:00:00,291.104187
2023-03-01 00:00:00,291.727478
2023-04-01 00:00:00,294.838226
2023-05-01 00:00:00,296.455902
2023-06-01 00:00:00,297.559082
2023-07-01 00:00:00,297.651947
2023-08-01 00:00:00,297.611145
2023-09-01 00:00:00,297.280151
2023-10-01 00:00:00,296.177704
2023-11-01 00:00:00,294.044312
2023-12-01 00:00:00,291.709534
2024-01-01 00:00:00,290.731964
2024-02-01 00:00:00,291.085358
2024-03-01 00:00:00,292.805298
2024-04-01 00:00:00,294.928131
2024-05-01 00:00:00,296.950104
2024-06-01 00:00:00,297.925293
2024-07-01 00:00:00,297.802948
2024-08-01 00:00:00,297.88031
2024-09-01 00:00:00,297.437958
2024-10-01 00:00:00,295.380859
2024-11-01 00:00:00,293.513855
2024-12-01 00:00:00,290.264648
2025-01-01 00:00:00,287.814453
2025-02-01 00:00:00,289.949219
2025-03-01 00:00:00,291.355072
2025-04-01 00:00:00,293.908722
2025-05-01 00:00:00,296.290558
2025-06-01 00:00:00,297.491364
2025-07-01 00:00:00,297.550201
2025-08-01 00:00:00,297.297882
2025-09-01 00:00:00,297.11676
